"Subject","Word","Pupil","Paragraph","Brightness","Story","Vividness","Suspense","Word_order"
"P01M29","story3_dark2_mørke_4",0.0248479429687381,"story3_dark2","dark","story3",4,4,2
"P01M29","story3_dark2_formørkede",-0.0759426376878035,"story3_dark2","dark","story3",4,4,3
"P01M29","story3_dark2_dysterheten",-0.0969313922219918,"story3_dark2","dark","story3",4,4,4
"P01M29","story3_dark2_dempede",-0.0898884880737679,"story3_dark2","dark","story3",4,4,5
"P01M29","story3_dark2_skygger_4",-0.122328156154494,"story3_dark2","dark","story3",4,4,6
"P01M29","story3_dark2_beksvart_3",-0.129776393903803,"story3_dark2","dark","story3",4,4,7
"P01M29","story3_dark2_uklare",-0.0961491605229768,"story3_dark2","dark","story3",4,4,8
"P01M29","story3_dark2_midnatten",-0.0958882544425985,"story3_dark2","dark","story3",4,4,9
"P01M29","story3_dark2_nattaktive",-0.09074663067864,"story3_dark2","dark","story3",4,4,10
"P01M29","story4_bright_frontlysene",-0.00212592449895276,"story4_bright","bright","story4",5,5,1
"P01M29","story4_bright_blendende_3",-0.0479275862368227,"story4_bright","bright","story4",5,5,2
"P01M29","story4_bright_lysstråler",-0.0401388913084534,"story4_bright","bright","story4",5,5,3
"P01M29","story4_bright_glødende_2",-0.158066178530467,"story4_bright","bright","story4",5,5,4
"P01M29","story4_bright_lyskilde",-0.167079522831045,"story4_bright","bright","story4",5,5,5
"P01M29","story4_bright_lyskasterne",-0.0685857486500964,"story4_bright","bright","story4",5,5,6
"P01M29","story4_bright_gnistrende_2",-0.10896859671319,"story4_bright","bright","story4",5,5,7
"P01M29","story4_bright_strålene_2",-0.106355424129782,"story4_bright","bright","story4",5,5,8
"P01M29","story4_bright_skinnende_3",-0.114373981227634,"story4_bright","bright","story4",5,5,9
"P01M29","story4_bright_klarheten",-0.0728166895686036,"story4_bright","bright","story4",5,5,10
"P01M29","story4_dark1_nattsvart",0.0470199469211368,"story4_dark1","dark","story4",5,5,1
"P01M29","story4_dark1_dunkle_4",-0.00461641058437722,"story4_dark1","dark","story4",5,5,2
"P01M29","story4_dark1_dempede_2",-0.0347386926556239,"story4_dark1","dark","story4",5,5,3
"P01M29","story4_dark1_nattlig",-0.115558483207883,"story4_dark1","dark","story4",5,5,4
"P01M29","story4_dark1_dunkelhet",-0.126937608904696,"story4_dark1","dark","story4",5,5,5
"P01M29","story4_dark1_uklare_2",-0.122599404808665,"story4_dark1","dark","story4",5,5,6
"P01M29","story4_dark1_svartheten_2",-0.0957527189203895,"story4_dark1","dark","story4",5,5,7
"P01M29","story4_dark1_skyggeleggende",-0.100246575144634,"story4_dark1","dark","story4",5,5,8
"P01M29","story4_dark1_mørket_2",-0.113381152215124,"story4_dark1","dark","story4",5,5,9
"P01M29","story4_dark1_nedtonede",-0.10703394617188,"story4_dark1","dark","story4",5,5,10
"P01M29","story4_dark2_slukkede",0.0261407199742226,"story4_dark2","dark","story4",5,5,1
"P01M29","story4_dark2_skyggeverdenen",0.0277480337435259,"story4_dark2","dark","story4",5,5,2
"P01M29","story4_dark2_mørklagte",-0.161781814746264,"story4_dark2","dark","story4",5,5,3
"P01M29","story4_dark2_mørke_5",-0.0621068448958745,"story4_dark2","dark","story4",5,5,4
"P01M29","story4_dark2_skyggene",-0.0447268853377551,"story4_dark2","dark","story4",5,5,5
"P01M29","story4_dark2_bekmørke",-0.116864191439451,"story4_dark2","dark","story4",5,5,6
"P01M29","story4_dark2_ugjennomsiktige",-0.116258152693588,"story4_dark2","dark","story4",5,5,7
"P01M29","story4_dark2_dunkle_5",-0.111290604111088,"story4_dark2","dark","story4",5,5,8
"P01M29","story4_dark2_kullsvarte",-0.101357782892573,"story4_dark2","dark","story4",5,5,9
"P01M29","story4_dark2_sorte_2",-0.0186718663618468,"story4_dark2","dark","story4",5,5,10
"P02M26","story1_bright1_strålende",0.0305958401155261,"story1_bright1","bright","story1",5,2,1
"P02M26","story1_bright1_sommerdag",0.0278625865363551,"story1_bright1","bright","story1",5,2,2
"P02M26","story1_bright1_solstrålene",0.0283241227443186,"story1_bright1","bright","story1",5,2,3
"P02M26","story1_bright1_skinte",0.000128222263962386,"story1_bright1","bright","story1",5,2,4
"P02M26","story1_bright1_skimret",-0.0614468367819488,"story1_bright1","bright","story1",5,2,5
"P02M26","story1_bright1_blendende",-0.0872880763737269,"story1_bright1","bright","story1",5,2,6
"P02M26","story1_bright1_lyset",-0.0795395945468783,"story1_bright1","bright","story1",5,2,7
"P02M26","story1_bright1_glinset",-0.178184106097081,"story1_bright1","bright","story1",5,2,8
"P02M26","story1_bright1_solfylt",-0.144065619320251,"story1_bright1","bright","story1",5,2,9
"P02M26","story1_bright1_dag",-0.131644298309768,"story1_bright1","bright","story1",5,2,10
"P02M26","story1_bright2_klare",0.0780439538463166,"story1_bright2","bright","story1",5,2,1
"P02M26","story1_bright2_lyset_2",0.0790137813287865,"story1_bright2","bright","story1",5,2,2
"P02M26","story1_bright2_strålende_2",-0.0054994111801833,"story1_bright2","bright","story1",5,2,3
"P02M26","story1_bright2_hvite",0.000150505272316335,"story1_bright2","bright","story1",5,2,4
